Country,Country_Code,Year,adult_literacy_rate,youth_literacy_male,youth_literacy_female,Region,illiteracy_rate,literacy_rate,gdp_per_capita,world_region,avg_years_schooling,Illiteracy_%,Literacy_Gender_Gap,GDP_per_Schooling_Year,Education_Index,Youth_Literacy_Average,Literacy_Growth_Rate
Afghanistan,AFG,2011.0,31.45,61.88,32.11,Asia,68.55,31.45,2757.0525,Asia,3.81328678151149,68.55,29.770000000000003,723.0121042475527,17.631643390755745,46.995000000000005,0.0
Afghanistan,AFG,2015.0,33.75,57.74,25.48,Asia,66.25,33.75,2967.6921,Asia,4.81,66.25,32.260000000000005,616.9838045738047,19.28,41.61,2.3000000000000007
Afghanistan,AFG,2020.0,36.014965,68.800964,40.055595,Asia,63.985035,36.014965,2769.6858,Asia,5.69,63.985035,28.745368999999997,486.7637609841828,20.852482499999997,54.428279499999995,2.2649649999999966
Afghanistan,AFG,2021.0,37.27,71.24,41.59,Asia,62.73,37.27,2144.1665,Asia,3.81328678151149,62.73,29.64999999999999,562.2882890413258,20.541643390755745,56.415,1.2550350000000066
Afghanistan,AFG,2022.0,78.6647677888707,83.4,44.17,Asia,21.323384163270195,78.67661578438866,1981.7102,Asia,3.81328678151149,21.323384163270195,39.230000000000004,519.6855923892775,41.244951282950076,63.785000000000004,41.406615784388656
Albania,ALB,2001.0,98.71,99.37,99.5,Europe,1.2900009,98.71,7232.9907,Europe,3.81328678151149,1.2900009,0.12999999999999545,1896.786450751293,51.261643390755744,99.435,0.0
Albania,ALB,2005.0,78.6647677888707,89.95973058304064,99.49,Europe,21.323384163270195,78.67661578438866,8964.318,Europe,10.24,21.323384163270195,9.530269416959356,875.4216796874999,44.45830789219433,94.72486529152032,-20.033384215611335
Albania,ALB,2008.0,95.94,98.54,99.12,Europe,4.0599976,95.94,11056.352,Europe,3.81328678151149,4.0599976,0.5799999999999983,2899.4284021873495,49.876643390755746,98.83000000000001,17.26338421561134
Albania,ALB,2009.0,78.6647677888707,94.82,96.61,Europe,21.323384163270195,78.67661578438866,11430.622,Europe,3.81328678151149,21.323384163270195,1.7900000000000063,2997.5773276273735,41.244951282950076,95.715,-17.26338421561134
Albania,ALB,2011.0,96.85,98.73,98.86,Europe,3.1500015,96.85,12153.114,Europe,3.81328678151149,3.1500015,0.12999999999999545,3187.044325888024,50.331643390755744,98.795,18.173384215611335
Albania,ALB,2012.0,97.25,99.38,99.02,Europe,2.75,97.25,12463.57,Europe,3.81328678151149,2.75,0.35999999999999943,3268.458606477994,50.53164339075575,99.19999999999999,0.4000000000000057
Albania,ALB,2017.0,98.81,98.59,99.53,Europe,1.1900024,98.81,15359.461,Europe,3.81328678151149,1.1900024,0.9399999999999977,4027.879852747896,51.31164339075575,99.06,1.5600000000000023
